Date,Open,High,Low,Close,Adj Close,Volume
2016-09-30,15975.000000,16000.000000,15500.000000,15700.000000,14589.021484,29338900
2016-10-03,15950.000000,16200.000000,15950.000000,15975.000000,14844.561523,15743000
2016-10-04,16200.000000,16200.000000,15900.000000,15950.000000,14821.330078,16257000
2016-10-05,15750.000000,16000.000000,15750.000000,15800.000000,14681.944336,12673500
2016-10-06,16000.000000,16050.000000,15750.000000,15775.000000,14658.713867,11664900
2016-10-07,16000.000000,16000.000000,15750.000000,15800.000000,14681.944336,9201300
2016-10-10,15700.000000,15925.000000,15650.000000,15700.000000,14589.021484,4991800
2016-10-11,15925.000000,15925.000000,15725.000000,15800.000000,14681.944336,14435300
2016-10-12,15800.000000,15850.000000,15375.000000,15600.000000,14496.096680,15787200
2016-10-13,15600.000000,15675.000000,15350.000000,15450.000000,14356.711914,11549000
2016-10-14,15475.000000,16050.000000,15375.000000,15800.000000,14681.944336,21454300
2016-10-17,15800.000000,15925.000000,15800.000000,15900.000000,14774.869141,22926100
2016-10-18,16000.000000,16075.000000,15950.000000,16050.000000,14914.252930,32105200
2016-10-19,15975.000000,16150.000000,15825.000000,15975.000000,14844.561523,8749600
2016-10-20,15850.000000,15950.000000,15750.000000,15750.000000,14635.483398,7799200
2016-10-21,15850.000000,15850.000000,15775.000000,15800.000000,14681.944336,10536200
2016-10-24,15875.000000,15875.000000,15550.000000,15675.000000,14565.790039,12907900
2016-10-25,15625.000000,15700.000000,15475.000000,15500.000000,14403.172852,21133200
2016-10-26,15600.000000,15600.000000,15475.000000,15500.000000,14403.172852,12330700
2016-10-27,15500.000000,15575.000000,15475.000000,15525.000000,14426.405273,15933400
2016-10-28,15525.000000,15600.000000,15425.000000,15600.000000,14496.096680,14421000
2016-10-31,15500.000000,15600.000000,15425.000000,15525.000000,14426.405273,13108700
2016-11-01,15500.000000,15650.000000,15450.000000,15450.000000,14356.711914,15531500
2016-11-02,15450.000000,15525.000000,15325.000000,15475.000000,14379.943359,20289200
2016-11-03,15500.000000,15500.000000,15300.000000,15425.000000,14333.482422,13691000
2016-11-04,15350.000000,15500.000000,15300.000000,15500.000000,14403.172852,12436500
2016-11-07,15250.000000,15525.000000,15100.000000,15400.000000,14310.249023,22099400
2016-11-08,15400.000000,15600.000000,15400.000000,15500.000000,14403.172852,21302900
2016-11-09,15500.000000,15575.000000,15250.000000,15300.000000,14217.326172,25375000
2016-11-10,15300.000000,15425.000000,15225.000000,15225.000000,14147.633789,13976500
2016-11-11,15000.000000,15000.000000,14500.000000,14675.000000,13636.552734,44513300
2016-11-14,14400.000000,14400.000000,13950.000000,14375.000000,13357.780273,31337800
2016-11-15,14300.000000,14875.000000,14100.000000,14550.000000,13520.398438,27094900
2016-11-16,14575.000000,14925.000000,14575.000000,14725.000000,13683.014648,25807100
2016-11-17,14750.000000,14850.000000,14700.000000,14750.000000,13706.246094,24099800
2016-11-18,14700.000000,14750.000000,14625.000000,14725.000000,13683.014648,16140300
2016-11-21,14700.000000,14775.000000,14625.000000,14725.000000,13683.014648,17475000
2016-11-22,14500.000000,14725.000000,14500.000000,14650.000000,13613.324219,25863400
2016-11-23,14650.000000,14750.000000,14625.000000,14700.000000,13659.785156,10228700
2016-11-24,14500.000000,14700.000000,14400.000000,14550.000000,13520.398438,16662600
2016-11-25,14500.000000,14550.000000,14450.000000,14525.000000,13497.166992,14252500
2016-11-28,14450.000000,14525.000000,14325.000000,14375.000000,13357.780273,15157200
2016-11-29,14325.000000,14425.000000,14125.000000,14350.000000,13334.550781,20393800
2016-11-30,14350.000000,14400.000000,14275.000000,14300.000000,13288.087891,32615700
